index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
266,Data Scientist,$91K-$150K (Glassdoor est.),"Summary of the Position


The Data Scientist is a non-supervisory position within the Data Strategy and Analytics (DS&A) department within the Legal, Strategy and Insights (LSI) division. The DS&A team performs a centralized business analytics and market research function for USP – supporting all levels of the organization including the Executive Team. The Data Scientist performs a highly visible, complex, and vital role in DS&A related to the forecasting, pricing, modeling, and evaluation of USP products and services including support for business development activities such as strategy development, new product development, market development, Pricing and revenue analysis, etc. Using a broad range of analytical and business knowledge, the Data Scientist performs and coordinates complex analyses surrounding business problems and make recommendations accordingly. They communicate analytical results to non-technical audiences – translating analyses into concise and clear business recommendations.

Roles and Responsibilities
Perform analyses in support of strategic initiatives, business development, revenue analysis and other needs of the organization
Lead web analytics for USP publishing platforms, providing data and insights to develop KPIs and define variables for key indicators, and to guide operational decisions and drive strategies by partnering with business stakeholders
Partnering with IT and an external vendor, drive successful deployment of Adobe Analytics for new publications and functionality enhancements to existing platforms
Build sophisticated data visualizations, dashboards, and reports for business stakeholders, using a wide array of data sources
Use data to provide customer insights on a recurring basis
Integrate USP proprietary data with external data sources to develop analytical models that answer business questions
Develop ad hoc reports and analyses as needed
Act as a thought partner with colleagues across USP on resolving unique business problems using analytics, supporting program unit heads, site heads, strategy leaders, and more
Set and manage internal partner expectations related to specific deliverables
Perform other duties as assigned


Basic Qualifications
Undergraduate degree required. Preferred majors in chemistry, biology, or other science degree or an equivalent combination of education and experience with higher education.
Minimum of two (2) or more years of experience in Data Science


Preferred Qualifications
Highly proficient with the following software:
Adobe Analytics
Tableau, with demonstrated ability to create advanced data visualizations and manage large data sources in Tableau Server
R (or a comparable statistical analysis package)
Excel and other MS Office applications
Preferred experience with:
Python
SQL
Oracle, or similar relational database management systems
Demonstrated ability to:
interpret business questions into variables and KPIs
develop clear data visualizations with minimal supervision
manipulate and combine large databases
interpret data to solve real-world problems
multi-task and work in a fast-paced environment
explain highly technical or complex issues to non-technical audiences
Strong communication skills: verbal, written, and interpersonal
Self-motivated and able to handle multiple concurrent projects and prioritize tasks independently
Excellent time and project management skills
Ability to handle change
USP offers an impressive benefits package, including:
Generous paid time off – 14 paid holidays, 10 sick days and 15 vacation days per year to start
An annual 401(k) contribution, beginning after 1 year of service, of 10% of pay (base and bonus) every pay period that vests immediately
Comprehensive individual and family healthcare plans with affordable premiums and low annual deductibles ($250/individual or $500/family)
The U.S. Pharmacopeial Convention (USP) is a scientific nonprofit organization that sets standards for the identity, strength, quality, and purity of medicines, food ingredients, and dietary supplements manufactured, distributed and consumed worldwide. USP’s drug standards are enforceable in the United States by the Food and Drug Administration, and these standards are used in more than 140 countries.

Being a part of USP means belonging to a diverse culture made up of more than 1,000 talented professionals working together at five international locations. We share our expertise in science, IT, human resources, quality assurance, communications, administrative management, and more...all to support an overall mission dedicated to making a difference by providing standards and programs that help improve the quality of medicines, dietary supplements, and foods worldwide.

USP is proud to be an equal employment opportunity employer (EEOE) and affirmative action employer. Employment selection and related decisions are made without regard to sex, race, age, disability, religion, national origin, color, veteran status, sexual orientation, gender identity or any other protected class. We are committed to working with and providing reasonable accommodation to individuals with disabilities.

USP does not accept unsolicited resumes from 3rd party recruitment agencies and is not responsible for fees from recruiters or other agencies except under specific written agreement with USP.

Required Skills

Required Experience

Job Location
Rockville, US-MD",3.2,"US Pharmacopeia
3.2","Rockville, MD","Rockville, MD",1001 to 5000 employees,1820,Nonprofit Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1
267,Data Scientist,$91K-$150K (Glassdoor est.),"DATA SCIENTIST

Job Description

Participate in all phases of data mining, data collection, data cleaning, and developing models. Collect data using Hadoop tools to retrieve the data required for building models such as Hive and Pig Latin. Work on Amazon Web Services cloud virtual machine to do machine learning on big data. Develop Spark Python modules for machine learning and predictive analytics in Hadoop. Use cross-validation to test the models with different batches of data to optimize the models and prevent overfitting.

Responsibilities

Participate in all phases of data mining, data collection, data cleaning, and developing models. Collect data using Hadoop tools to retrieve the data required for building models such as Hive and Pig Latin. Work on Amazon Web Services cloud virtual machine to do machine learning on big data. Develop Spark Python modules for machine learning and predictive analytics in Hadoop. Use cross-validation to test the models with different batches of data to optimize the models and prevent overfitting.

Qualifications and Skills

Knowledge of data mining, database systems, system programming, system design, and programming languages is required. Bachelor’s degree in Science, Technology, or Engineering (any) is required.
Work location: Piscataway, NJ and various unanticipated locations throughout the U.S.
Send Resume to HR Dept., Itlize Global, LLC., 242 Old New Brunswick Road, Suite 250, Piscataway, NJ 08854.
Should the candidate accept employment with Itlize Global, LLC., the referring employee will be eligible to receive an award of $1,000.00 for the successful referral.",4.6,"Itlize Global
4.6","Piscataway, NJ","Piscataway, NJ",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1
268,Data Scientist,$91K-$150K (Glassdoor est.),"We are looking to hire an analytic & insights Data Scientist to partner with the eBay core product team. As a critical member of the Product Insights team, this role will have the rare opportunity to influence decision-making of the Shipping Product roadmap with their insights and thought leadership.

With a vision to see opportunities to drive transformative change in the customer experience and result in significant business growth, we mine the largest datasets in the world of e-Commerce and use exclusive analytic and big data techniques to extract impactful insights. We achieve this by partnering closely with the product and engineering teams, and see opportunities that are accretive to the product roadmaps.

To be successful in this role:
Require the minimum of a bachelors degree in Statistics, Mathematics, Computer Science, Data Science, Business Administration or Business Analytics.
You would have to strike a balance between critical thinking and actual hands-on analyses using tools & packages such as SQL, R, Python, Tableau etc.
You possess super strong technical skills to turn big data in Teradata and Hadoop into actionable insights. At the same time, you also have the ability to think about the big picture and connect the dots to evaluate how the insights impact eBays ecosystem.
In addition to delivering insights on existing Product & Tech initiatives, you will come up with creative product growth opportunities based on insights, and build momentum through influence.
Enthusiastic collaboration and effective communication are essential
Additionally, the following background and experience is preferred:
Proven track record of turning insights into product growth opportunities in prior roles with increasing scope and responsibilities
Ability to present complex analyses and insights effectively in simple terms
Good experience with both descriptive and inferential statistics ability to build basic prototype models
Experience in a leading technology company
Background in ecommerce product experience
Masters degree is a plus.
Experience with site experimentation (A/B testing) is a plus
This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy

View our accessibility info

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see:

EEO is the Law Poster

EEO is the Law Poster Supplement",3.5,"eBay
3.5","San Jose, CA","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD),"Amazon, Apple"
269,"Data Engineer, Digital & Comp Pathology",$91K-$150K (Glassdoor est.),"Paige is a software company helping pathologists and clinicians make faster, more informed diagnostic and treatment decisions by mining decades of data from the world's experts in cancer care. We are leading a digital transformation in pathology by leveraging advanced Artificial Intelligence (AI) technology to create value for the oncology clinical team.

Paige is the first company to develop clinical grade AI tools for the pathologist, which resulted in our receiving FDA breakthrough designation for our first product.

We're seeking a Data Engineer, Digital & Comp Pathology who will be involved in the development and support of software applications, tools and data management pipelines for research and clinical purposes. Following modern product development practices, you will also assist in the design, implementation and maintenance of tools that extract and manipulate data from various sources, including in-house and external databases, for computational pathology. This is an extraordinary opportunity to be part of a high-performing team and to pursue a life-changing mission with unique technical challenges!

Responsibilities
Create software and data pipelines that enable the ingestion, transformation and transfer of large amounts of structured and unstructured data from various databases and filesystems sources, that are destined for the development of computation pathology applications and algorithms.
Create database logic to automatically fetch and store data in various forms. Architect and develop scalable, reliable and high-performance backend applications.
Participate in server, application, and database development and in the building and testing of complex systems.
Design and develop software tools into existing resources. Be responsible for design, coding, testing, packaging, debugging, documentation and deployment of software systems.
Familiarity with DevOps practices.
Familiarity with Data Warehouses and Data Lakes concepts.
Work independently to produce required functional, technical, and user documentation (e.g., business requirements, functional and technical specifications, system architecture, data flows, end-users training requirements) on assigned projects.
Work and collaborate with scientists, engineers, IT operations and medical doctors to build tools manipulating data in order to build a new generation of artificial intelligence applications for cancer detection and treatment.
Provide consultation and guidance to scientists, engineers, as well as other bioinformatics engineers and medical doctors.
Maintain and enhance professional growth and development through participation in scientific and technical discussions, workshops, and seminars to keep current in the development of industry-grade software.
Requirements
Extensive experience in Python programming, or related language.
Extensive experience in development of SQL database schema and query logic.
Experience with RDBMS and NoSQL databases (e.g. MongoDB).
Experience architecting data warehouses and/or data lakes for large amounts of structured and unstructured data.
Extensive experience architecting scalable backend architectures.
Experience in building and testing complex systems.
Experience in packaging and deploying applications on-premise and in the cloud (e.g. AWS).
Familiarity with modern development practices and DevOps.
Interest in building non-standard medical software applications, in collaboration with medical partners. Cross-disciplinary and strong analytic skills required.
Master's degree in computer science or a related field, or equivalent years of experience.
6+ years of industry experience as a software engineer
Preferred
Excellent communication skills and superb eye for detail.",5.0,"Paige
5.0","New York, NY","New York, NY",1 to 50 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
270,Data Engineer,$91K-$150K (Glassdoor est.),"About Shape Security

We are security and web experts, pioneers, evangelists, and elite researchers. We believe in the power of the Internet to be a positive force; our mission is to protect every website and mobile app from cybercriminals. Shape’s founders fought cybercrime at the Pentagon, Google, and other leading security companies. We are backed by some of the most prominent leaders and investors in the technology industry including Kleiner Perkins, Google Ventures, and more. Come be a part of our unparalleled team that is responsible for making the Internet a safer place for everyone.

Position Summary

We are looking for a Big Data Engineer that will work on the storing, processing, and analyzing of huge sets of data. The primary focus will be on choosing optimal solutions to use for these purposes, then maintaining, implementing, and monitoring them. You will also be responsible for integrating them with the architecture used across the company.
Responsibilities
Selecting and integrating big data frameworks required to provide requested capabilities
Build analysis pipelines as well as visualization dashboards
Monitoring performance and iterate the solution fast
Skills and Qualifications
Experience with Cloud-based service and development environment, such as AWS or GCP
Proficiency with programming languages such as Python and Java
Proficient understanding of distributed computing principles
Good knowledge of Big Data querying databases, such as BigQuery, BigTable and MongoDB",4.1,"Shape Security
4.1","Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
271,"Manager / Lead, Data Science & Analytics",$91K-$150K (Glassdoor est.),"Search by Keyword
More Options

Search by Location

Clear

Loading...

Department

All

State

All

×

Send me alerts every days
alert frequency in every certain days
Create Alert

form.emailsubscribe-form {
display: none;
}
×

Send me alerts every days
alert frequency in every certain days

Share this Job

AddThis
Email
Facebook
Twitter
LinkedIn
Pinterest

Apply now »



Manager / Lead, Data Science & Analytics

Date:

Jun 6, 2020

Location:

Danvers, MA, US

#job-location.job-location-inline {
display: inline;
}

Abiomed is a pioneer and global leader in healthcare technology and innovation, with a mission of Recovering Hearts & Saving Lives. With corporate headquarters in Danvers, Massachusetts, offices in Aachen & Berlin, Germany and Tokyo, Japan, Abiomed’s 1,400 employees form one of the fastest growing medical device companies in the world. We attract and retain exceptional talent with our collaborative culture, passion for our work, and a strong commitment to employee professional development.

Patients First | Innovation | Winning Culture | Heart Recovery

The Abiomed Applied Research group is a team of scientists and engineers building the company’s next generation of data-driven algorithms and creating Abiomed’s data consolidation, extraction and analytics platform. We are looking for a hands-on team lead for a growing data science and analytics team. She or he will work closely with stakeholders in clinical operations, medical affairs, regulatory, marketing, and other business units to design solutions for a variety of business needs. The Data Science and Analytics team lead will also work closely with our data engineering team to utilize and request extensions of existing internal API gateways. Ultimately, she or he will efficiently deliver high quality data analyses for different stakeholders within Abiomed. The Data Analytics Lead, as a core member of the Applied Research team, will play a central role in fulfilling Abiomed’s mission of recovering heart and saving lives. We are looking for a creative self-starter who thrives in an agile environment and enjoys a fast-paced, dynamic research group.

Responsibilities:
Analyze KPIs and key business analytics
Accountable for the development of direct reports through performance reviews, instruction, mentoring and coaching. This includes setting goals, conducting periodic and year end performance reviews, proactively identifying and addressing any areas of concern, providing development opportunities to team members and as needed, escalating performance and/or personnel issues
Develop, maintain, and improve holistic data sets, reports, and dashboards to monitor company performance
Analyze business intelligence and support the business by communicating key trends, insights, risks, and findings to management
Use a data-informed approach to inform and drive day-to-day focus and operational efficiencies
Manage project portfolio by assigning resources according to priorities and keeping stakeholders informed on progress
Performs other duties and projects as assigned
Job Requirements:
M.S. or Ph.D. Data Science, Statistics, or other related area of study.
Minimum of 5 years of relevant work-related experience, 10+ years preferred
Experience formally leading teams of individuals across all levels (i.e., entry-level to Principal)
Experience in project management for a data science and/or analytics team
Experience conducting statistical analyses of various types including (but not limited to) distributional tests, autoregressive models, trend analysis, Bayesian models
Experience using APIs to request data from our data warehouse and data lake (experience with clinical data a plus, experience with database design/ETL a plus)
Experience in building and unit testing production-level algorithms and predictive analytics pipelines
Solid experience in data analytics applications (Excel, R, SAS, Matlab)
Demonstrated data visualization experience (Power BI, Tableau, D3.js/javascript, etc)
Experience with SQL, Python, C/C++, Agile framework
Solid experience in machine learning toolkits (Scikit Learn, TensorFlow, Keras, etc)
Experience working with cloud database technologies, such as Azure Web Services, Amazon Web Services, PostGres
Strong critical thinking and organizational skills; including customer facing and strong communication skills. Needs to interpret data and make recommendations to business leaders and customers.
Strong communicator who work cross-functionally on defining the scope of projects
Strong work ethic and high level of personal integrity and accountability
Demonstrated excellence of design thinking and keen observational skills
Self-motivated and good team player
Willing to learn and explore new approaches to data analytics
Independent, efficient, and able to manage several concurrent projects
Abiomed is an Equal Opportunity Employer committed to a diverse workforce. Abiomed will not discriminate against any worker or job applicant on the basis of race, color, religion, gender, gender identity, national origin, ancestry, age, sexual orientation, gender identity, marital or civil partnership status, pregnancy, gender reassignment, non-job related mental or physical disability, genetic information, veteran status, military service, application for military service, or membership in any other category protected under law.

Nearest Major Market: Boston

Apply now »

Find similar jobs:
Engineering & R&D

Apply now »



Manager / Lead, Data Science & Analytics

Date:

Jun 6, 2020

Location:

Danvers, MA, US

#job-location.job-location-inline {
display: inline;
}

Abiomed is a pioneer and global leader in healthcare technology and innovation, with a mission of Recovering Hearts & Saving Lives. With corporate headquarters in Danvers, Massachusetts, offices in Aachen & Berlin, Germany and Tokyo, Japan, Abiomed’s 1,400 employees form one of the fastest growing medical device companies in the world. We attract and retain exceptional talent with our collaborative culture, passion for our work, and a strong commitment to employee professional development.

Patients First | Innovation | Winning Culture | Heart Recovery

The Abiomed Applied Research group is a team of scientists and engineers building the company’s next generation of data-driven algorithms and creating Abiomed’s data consolidation, extraction and analytics platform. We are looking for a hands-on team lead for a growing data science and analytics team. She or he will work closely with stakeholders in clinical operations, medical affairs, regulatory, marketing, and other business units to design solutions for a variety of business needs. The Data Science and Analytics team lead will also work closely with our data engineering team to utilize and request extensions of existing internal API gateways. Ultimately, she or he will efficiently deliver high quality data analyses for different stakeholders within Abiomed. The Data Analytics Lead, as a core member of the Applied Research team, will play a central role in fulfilling Abiomed’s mission of recovering heart and saving lives. We are looking for a creative self-starter who thrives in an agile environment and enjoys a fast-paced, dynamic research group.

Responsibilities:
Analyze KPIs and key business analytics
Accountable for the development of direct reports through performance reviews, instruction, mentoring and coaching. This includes setting goals, conducting periodic and year end performance reviews, proactively identifying and addressing any areas of concern, providing development opportunities to team members and as needed, escalating performance and/or personnel issues
Develop, maintain, and improve holistic data sets, reports, and dashboards to monitor company performance
Analyze business intelligence and support the business by communicating key trends, insights, risks, and findings to management
Use a data-informed approach to inform and drive day-to-day focus and operational efficiencies
Manage project portfolio by assigning resources according to priorities and keeping stakeholders informed on progress
Performs other duties and projects as assigned
Job Requirements:
M.S. or Ph.D. Data Science, Statistics, or other related area of study.
Minimum of 5 years of relevant work-related experience, 10+ years preferred
Experience formally leading teams of individuals across all levels (i.e., entry-level to Principal)
Experience in project management for a data science and/or analytics team
Experience conducting statistical analyses of various types including (but not limited to) distributional tests, autoregressive models, trend analysis, Bayesian models
Experience using APIs to request data from our data warehouse and data lake (experience with clinical data a plus, experience with database design/ETL a plus)
Experience in building and unit testing production-level algorithms and predictive analytics pipelines
Solid experience in data analytics applications (Excel, R, SAS, Matlab)
Demonstrated data visualization experience (Power BI, Tableau, D3.js/javascript, etc)
Experience with SQL, Python, C/C++, Agile framework
Solid experience in machine learning toolkits (Scikit Learn, TensorFlow, Keras, etc)
Experience working with cloud database technologies, such as Azure Web Services, Amazon Web Services, PostGres
Strong critical thinking and organizational skills; including customer facing and strong communication skills. Needs to interpret data and make recommendations to business leaders and customers.
Strong communicator who work cross-functionally on defining the scope of projects
Strong work ethic and high level of personal integrity and accountability
Demonstrated excellence of design thinking and keen observational skills
Self-motivated and good team player
Willing to learn and explore new approaches to data analytics
Independent, efficient, and able to manage several concurrent projects
Abiomed is an Equal Opportunity Employer committed to a diverse workforce. Abiomed will not discriminate against any worker or job applicant on the basis of race, color, religion, gender, gender identity, national origin, ancestry, age, sexual orientation, gender identity, marital or civil partnership status, pregnancy, gender reassignment, non-job related mental or physical disability, genetic information, veteran status, military service, application for military service, or membership in any other category protected under law.

Nearest Major Market: Boston

Apply now »",4.1,"ABIOMED
4.1","Danvers, MA","Danvers, MA",1001 to 5000 employees,1981,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Covidien, Boston Scientific"
272,Data Scientist,$91K-$150K (Glassdoor est.),"Business Unit: Data Scientist Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 40 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast. Job Summary In this role, you will be responsible for delivering data-centric business support across the enterprise, with an emphasis on Marketing and Research use cases. You will partner and work closely with various stakeholders across the organization while embedded in a corporate-level advanced analytics team. Your work will contribute directly to the success of various Comcast entertainment and media products, including streaming services, helping to propel the company forward in the digital age. You will be integral to driving data-driven decision-making practices across the company. You will provide expertise in data/analytics, with a focus on initiatives that empower business units to extract greater value from company data assets and deliver insights derived through advanced analytics. You will embrace a business-facing focus, applying innovative approaches to solve complex challenges. This role will be based in New York City and can be worked remotely during the coronavirus timeframe. Core Responsibilities -Deliver data-driven solutions for businesses, complementing existing business teams with additional resources, perspectives, ideas and solutions. -Perform ad-hoc analyses for stakeholders using various datasets across the organization, including: KPI deep dives, marketing analytics, predictive modeling, audience clustering, and affinity analysis. -Use analytical rigor and statistical methods to analyze large amounts of data, extracting actionable insights using techniques such as data analysis, data mining, optimization tools, and machine learning. -Lead projects from planning stages through execution and delivery, collaborating with business units, agencies, and peers to ensure deliverables align with business needs. -Communicate across the enterprise with various stakeholders and work closely with teammates, both local and remote, on ongoing workstreams and projects -Distill complex data, insights, and analyses into easily digestible visualizations and presentations for various technical and non-technical audiences. -Manage and prioritize incoming requests from various enterprise stakeholders with existing and overlapping projects. -Maintain and develop tools and processes to standardize and automate recurring procedures/tasks. Required Qualifications -B.S. in Computer Science, Statistics, Mathematics, Economics, or related field -Extensive experience working with data and performing analytics -Experience with AWS -Knowledge of programming languages used for analysis (e.g. SQL, Python, R), software development experience, a plus -Experience with statistical modeling and/or advanced data science techniques -Experience with data visualization tools (e.g. Tableau, Domo) -Strong curiosity, leadership and business acumen - possess strong interpersonal skills with the ability to motivate, collaborate and influence -Ability to deliver on multiple projects and meet tight deadlines -Flexible and adaptable, self-driven, confident and resourceful Additional Qualifications -Background in digital, eCommerce, marketing, media or entertainment a plus -Experience with software development and automation a strong plus Employees at all levels are expected to: - Understand our Operating Principles; make them the guidelines for how you do your job - Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services - Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences - Win as a team - make big things happen by working together and being open to new ideas - Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers - Drive results and growth - Respect and promote inclusion and diversity - Do what's right for each other, our customers, investors and our communities Comcast is an EOE/Veterans/Disabled/LGBT employer",3.5,"Comcast
3.5","New York, NY","Philadelphia, PA",10000+ employees,1963,Company - Public,-1,-1,$10+ billion (USD),"AT&T, Verizon"
273,Data Scientist,$91K-$150K (Glassdoor est.),"Job Description
Required Security Clearance: Secret

Required Education and Experience: Minimum four years of experience and a BS degree in Physics, Computer Science, Mathematics, or another quantitative discipline

Functional Responsibility:
Collects large sets of structured and unstructured data from disparate sources
Cleans and validates data to ensure accuracy, completeness, and uniformity
Analyzes data to identify patterns and trends
Devises and applies models and algorithms to mine the stores of big data
Interprets data to discover solutions and opportunities
Qualifications:
Strong client engagement skills
Experience with languages such as Python, R, SAS, and SQL
Experience with version control systems, including Github or Gitlab
Experience with designing, developing, and deploying analytic software and algorithms
Preferences:
Experience with open source Big Data tools including Apache Spark or Apache NiFi
Experience with developing solutions and integrating, extending, and contributing to Open Source software
Experience with entity resolution; Experience with Natural Langue Processing using modern deep learning techniques
Working Conditions:

Work is typically based in a busy office environment and subject to frequent interruptions. Business work hours are normally set from Monday through Friday 8:00am to 5:00pm, however some extended or weekend hours may be required. Additional details on the precise hours will be informed to the candidate from the Program Manager/Hiring Manager.

Physical Requirements:

May be required to lift and carry items weighting up to 25 lbs. Requires intermittent standing, walking, sitting, squatting, stretching, and bending throughout the work day.

Background Screening/Check/Investigation:

Successful Completion of a Background Screening/Check/Investigation will/may be required as a condition of hire.

Employment Type: Full-time / Exempt

Benefits:

Metronome offers competitive compensation, a flexible benefits package, career development opportunities that reflect its commitment to creating a diverse and supportive workplace. Benefits include, not all inclusive Medical, Vision & Dental Insurance, Paid Time-Off & Company Paid Holidays, Personal Development & Learning Opportunities.

Other:

An Equal Opportunity Employer: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status or disability status. Metronome LLC is committed to providing reasonable accommodations to employees and applicants for employment, to assure that individuals with disabilities enjoy full access to equal employment opportunity (EEO). Metronome LLC shall provide reasonable accommodations for known physical or mental limitations of qualified employees and applicants with disabilities, unless Metronome can demonstrate that a particular accommodation would impose an undue hardship on business operations. Applicants requesting a reasonable accommodation may make a request by contacting us.",3.2,"Metronome, LLC
3.2","Vienna, VA","Fairfax, VA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1
274,Data Scientist,$91K-$150K (Glassdoor est.),"Job Description
Client JD below:

We need a technical contractor to assist on building out data cleaning and manipulation tools for our machine learning system. The contractor will sit along side our data scientists to productionize and optimize the code that we have for data ingestion and optimization, and if necessary help to build out the machine learning tools that we are using. A strong background in Python and SQL is a must as that is what our systems are built upon. Additional experience with working with Google compute and cloud services is a plus as our algorithms are being calculated on those systems. We are located in the Flatiron district.
Company Description
SkillSoniq hires great talent for projects within SkillSoniq or with our Clients. Below is the hiring process we follow:
We review applications and resumes for relevant skills and experience
Profiles that get short-listed are contacted by SkillSoniq on next steps
You then go through a few rounds of interviews for the project
If you get selected, you are advised on next steps and paid by SkillSoniq",5.0,"SkillSoniq
5.0","San Francisco, CA","Jersey City, NJ",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
275,Data Scientist,$91K-$150K (Glassdoor est.),"Join us and make YOUR mark on the World!

Come join Lawrence Livermore National Laboratory (LLNL) where we apply science and technology to make the world a safer place; now one of 2020 Best Places to Work by Glassdoor!

We have multiple openings for Data Scientists to provide solutions for various projects. You will work in a dynamic, multidisciplinary team of independent/entrepreneurial computer scientists and engineers who research, develop, and integrate state-of-the-art algorithms, software, hardware, and computer systems solutions to challenging research and development problems. These positions are in the Computing Directorate.

These positions will be filled at either the SES.2 or SES.3 level depending on your qualifications. Additional job responsibilities (outlined below) will be assigned if you are selected at the higher level.

Essential Duties
Collaborate with scientists and researchers in one or more of the following areas: data intensive applications, text processing, graph analysis, machine learning, statistical learning, information visualization, low-level data management, data integration, data streaming, scientific data mining, data fusion, massive-scale knowledge fusion using semantic graphs, database technology, programming models for scalable parallel computing, application performance modeling and analysis, scalable tool development, novel architectures (e.g., FPGAs, GPUs and embedded systems), and HPC architecture simulation and evaluation.
Work with other LLNL scientists and application developers to bring research results to practical use in LLNL programs.
Assess the requirements for data sciences research from LLNL programs and external government sponsors.
Carry out development of data analysis algorithms to address program and sponsor data sciences requirements.
Engage other developers frequently to share relevant knowledge, opinions, and recommendations, working to fulfill deliverables as a team.
Design technical solutions independently, participate as a member of a multidisciplinary team to analyze sponsor requirements and designs, and implement software and perform analyses to address these requirements.
Develop and integrate components-such as web-based user interfaces, access control mechanisms, and commercial indexing products-for creating an operational information and knowledge discovery system.
Perform other duties as assigned.
In Addition at the SES.3 Level
Lead multiple parallel tasks and priorities of customers and partners to ensure complex deadlines are met.
Responsible for various complex projects, use team members’ skills to complete complex projects/tasks, and solve abstract complex problems/ideas and convert them into useable algorithms/software modules.
Provide solutions that require in-depth analysis of multiple factors and the creative use of established methods.
Qualifications
Bachelor’s degree in computer science, computer engineering, or related field, or the equivalent combination of education and related experience.
Comprehensive knowledge of one or more of the following: high performance computing, scientific data analysis, statistical analysis, knowledge discovery, computer security, systems programming, large-scale data management, and big data technologies.
Skilled in all aspects of the software project life cycle: feasibility, requirements, design, implementation, integration, test and deployment.
Experience developing software with C++, C, Java, Python, R, or Matlab, software applications in Linux, UNIX, Windows environments, data analysis algorithms, data management approaches, relational databases, or machine learning algorithms.
Demonstrated ability to effectively handle concurrent technical tasks with conflicting priorities, to approach difficult problems with enthusiasm and creativity and to change focus when necessary, and to work independently and implement research concepts in a multi-disciplinary team environment, where commitments and deadlines are important to project success.
Effective interpersonal skills necessary to interact with all levels of personnel.
Proficient verbal and written communication skills necessary to effectively collaborate in a team environment and present and explain technical information.
In Addition at the SES.3 Level
Effective advanced analytical, problem-solving, and decision-making skills to develop creative solutions to complex problems.
Significant experience with demonstrated expertise in the following technical languages, concepts, or constructs and in one or more of the following advanced areas: high performance computing, scientific data analysis, statistical analysis, knowledge discovery, computer security, systems programming, large-scale data management or big data technologies.
Advanced verbal and written communication skills necessary to effectively collaborate in a team environment and present and explain technical information and provide advice to management.

Pre-Employment Drug Test: External applicant(s) selected for this position will be required to pass a post-offer, pre-employment drug test. This includes testing for use of marijuana as Federal Law applies to us as a Federal Contractor.

Security Clearance: This position requires a Department of Energy (DOE) Q-level clearance.

If you are selected, we will initiate a Federal background investigation to determine if you meet eligibility requirements for access to classified information or matter. In addition, all L or Q cleared employees are subject to random drug testing. Q-level clearance requires U.S. citizenship. If you hold multiple citizenships (U.S. and another country), you may be required to renounce your non-U.S. citizenship before a DOE L or Q clearance will be processed/granted.

Note: This listing has multiple openings; these are Career Indefinite positions. Lab employees and external candidates may be considered for these positions.

About Us

Lawrence Livermore National Laboratory (LLNL), located in the San Francisco Bay Area (East Bay), is a premier applied science laboratory that is part of the National Nuclear Security Administration (NNSA) within the Department of Energy (DOE). LLNL's mission is strengthening national security by developing and applying cutting-edge science, technology, and engineering that respond with vision, quality, integrity, and technical excellence to scientific issues of national importance. The Laboratory has a current annual budget of about $1.8 billion, employing approximately 6,500 employees.

LLNL is an affirmative action/ equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, marital status, national origin, ancestry, sex, sexual orientation, gender identity, disability, medical condition, protected veteran status, age, citizenship, or any other characteristic protected by law.",4.7,"Lawrence Livermore National Lab
4.7","Livermore, CA","Livermore, CA",1001 to 5000 employees,1952,Government,Federal Agencies,Government,$1 to $2 billion (USD),"Los Alamos National Laboratory, NASA Jet Propulsion Laboratory, Sandia National Laboratories"
